日期,深证100全收益指数,银华深证100,易方达深证100ETF,易方达深证100ETF
20101119,4003.382,1.207,0.807,0.793
20101122,4018.614,1.211,0.81,0.809
20101123,3950.34,1.192,0.797,0.795
20101124,4074.148,1.227,0.822,0.824
20101125,4127.044,1.243,0.832,0.831
20101126,4094.019,1.233,0.825,0.83
20101129,4095.42,1.232,0.826,0.826
20101130,4024.405,1.212,0.812,0.812
20101201,4011.285,1.206,0.809,0.806
20101202,4041.269,1.213,0.816,0.813
20101203,4039.851,1.211,0.816,0.814
20101206,4021.208,1.204,0.812,0.811
20101207,4091.354,1.222,0.827,0.831
20101208,4071.882,1.215,0.823,0.819
20101209,3992.236,1.193,0.807,0.808
20101210,4036.274,1.205,0.816,0.817
20101213,4174.824,1.244,0.844,0.847
20101214,4198.602,1.251,0.849,0.85
20101215,4176.826,1.245,0.844,0.843
20101216,4169.208,1.242,0.843,0.841
20101217,4163.923,1.241,0.841,0.843
20101220,4101.273,1.223,0.829,0.827
20101221,4187.081,1.247,0.846,0.847
20101222,4153.444,1.238,0.839,0.837
20101223,4101.722,1.223,0.829,0.828
20101224,4062.66,1.212,0.821,0.819
20101227,3971.368,1.186,0.803,0.802
20101228,3886.973,1.162,0.785,0.786
20101229,3914.098,1.17,0.791,0.79
20101230,3932.672,1.175,0.795,0.795
20101231,4039.065,1.205,0.817,0.818
20110104,4114.035,1.208,0.832,0.831
20110105,4095.204,1.203,0.828,0.826
20110106,4076.899,1.198,0.824,0.823
20110107,4058.866,1.193,0.82,0.82
20110110,3971.3,1.169,0.803,0.801
20110111,3980.363,1.171,0.805,0.804
20110112,3989.632,1.174,0.806,0.807
20110113,3988.82,1.173,0.806,0.806
20110114,3932.119,1.157,0.795,0.793
20110117,3751.23,1.107,0.758,0.758
20110118,3759.269,1.109,0.76,0.759
20110119,3858.134,1.137,0.78,0.781
20110120,3711.635,1.096,0.75,0.75
20110121,3739.154,1.103,0.756,0.755
20110124,3681.139,1.087,0.744,0.743
20110125,3660.334,1.081,0.74,0.741
20110126,3716.375,1.097,0.751,0.751
20110127,3784.422,1.116,0.765,0.763
20110128,3821.009,1.126,0.772,0.772
20110131,3858.333,1.136,0.78,0.779
20110201,3856.195,1.135,0.779,0.779
20110209,3802.257,1.12,0.768,0.766
20110210,3912.902,1.151,0.791,0.791
20110211,3960.271,1.164,0.8,0.803
20110214,4088.971,1.199,0.826,0.827
20110215,4088.322,1.199,0.826,0.825
20110216,4155.334,1.218,0.839,0.84
20110217,4152.942,1.217,0.839,0.838
20110218,4096.797,1.201,0.828,0.828
20110221,4187.281,1.226,0.846,0.847
20110222,4068.797,1.193,0.822,0.823
20110223,4082.115,1.197,0.825,0.824
20110224,4108.286,1.204,0.83,0.829
20110225,4122.898,1.208,0.833,0.832
20110228,4198.688,1.229,0.848,0.848
20110301,4205.218,1.231,0.849,0.848
20110302,4184.03,1.225,0.845,0.843
20110303,4123.975,1.208,0.833,0.833
20110304,4183.851,1.224,0.845,0.846
20110307,4268.129,1.247,0.862,0.862
20110308,4269.136,1.248,0.862,0.863
20110309,4268.89,1.248,0.862,0.861
20110310,4211.967,1.232,0.851,0.852
20110311,4176.413,1.222,0.843,0.842
20110314,4217.638,1.234,0.852,0.852
20110315,4142.733,1.213,0.837,0.835
20110316,4190.66,1.226,0.846,0.846
20110317,4113.317,1.205,0.831,0.83
20110318,4141.36,1.212,0.836,0.834
20110321,4111.635,1.204,0.83,0.828
20110322,4122.749,1.207,0.832,0.829
20110323,4184.795,1.224,0.845,0.841
20110324,4168.663,1.22,0.842,0.839
20110325,4221.24,1.234,0.852,0.853
20110328,4200.954,1.228,0.848,0.843
20110329,4128.59,1.209,0.834,0.828
20110330,4122.182,1.208,0.832,0.828
20110331,4081.631,1.196,0.824,0.819
20110401,4123.374,1.208,0.832,0.827
20110406,4133.897,1.211,0.834,0.828
20110407,4176.835,1.223,0.843,0.838
20110408,4228.072,1.237,0.853,0.85
20110411,4193.039,1.227,0.846,0.843
20110412,4180.278,1.223,0.844,0.839
20110413,4236.053,1.239,0.855,0.852
20110414,4211.181,1.232,0.85,0.844
20110415,4203.617,1.229,0.848,0.841
20110418,4207.7,1.23,0.849,0.845
20110419,4147.338,1.214,0.837,0.834
20110420,4141.572,1.212,0.836,0.833
20110421,4162.268,1.218,0.84,0.84
20110422,4135.049,1.21,0.8346,0.834
20110425,4062.036,1.19,0.8198,0.819
20110426,4034.654,1.182,0.8142,0.814
20110427,4000.803,1.173,0.8074,0.807
20110428,3914.48,1.149,0.7899,0.791
20110429,3976.714,1.166,0.8026,0.802
20110503,4014.087,1.176,0.8101,0.808
20110504,3906.89,1.146,0.7884,0.787
20110505,3906.713,1.146,0.7884,0.787
20110506,3911.686,1.148,0.7895,0.788
20110509,3932.383,1.154,0.7937,0.795
20110510,3962.748,1.162,0.7998,0.8
