日期,深证成指,申万菱信深证成指分级,南方深成ETF,南方深成ETF
20101119,12295.849,0.906,1.2362,1.25
20101122,12303.545,0.906,1.2369,1.237
20101123,12062.409,0.891,1.213,1.213
20101124,12407.655,0.913,1.2472,1.246
20101125,12604.084,0.925,1.2667,1.266
20101126,12539.014,0.921,1.2602,1.266
20101129,12536.551,0.919,1.2613,1.255
20101130,12336.288,0.907,1.2414,1.24
20101201,12310.384,0.904,1.2403,1.235
20101202,12409.019,0.908,1.2518,1.248
20101203,12443,0.908,1.257,1.257
20101206,12422.785,0.906,1.2572,1.26
20101207,12656.997,0.918,1.2827,1.282
20101208,12615.412,0.913,1.2805,1.276
20101209,12353.266,0.897,1.2539,1.253
20101210,12460.464,0.904,1.2648,1.265
20101213,12905.024,0.931,1.3098,1.315
20101214,12926.615,0.932,1.312,1.315
20101215,12829.364,0.927,1.3021,1.303
20101216,12795.678,0.925,1.2986,1.303
20101217,12759.6,0.923,1.2949,1.294
20101220,12557.547,0.912,1.2744,1.274
20101221,12872.446,0.931,1.3063,1.306
20101222,12766.952,0.924,1.2956,1.296
20101223,12644.575,0.917,1.2831,1.281
20101224,12556.845,0.912,1.2742,1.273
20101227,12303.188,0.897,1.2484,1.248
20101228,12063.802,0.883,1.2241,1.223
20101229,12114.564,0.886,1.2292,1.231
20101230,12138.895,0.888,1.2317,1.234
20101231,12458.552,0.906,1.2634,1.262
20110104,12714.514,0.921,1.289,1.287
20110105,12647.629,0.912,1.2823,1.278
20110106,12599.656,0.909,1.2774,1.278
20110107,12573.937,0.907,1.2748,1.276
20110110,12331.158,0.893,1.2504,1.249
20110111,12385.172,0.897,1.2558,1.254
20110112,12409.978,0.898,1.2583,1.257
20110113,12423.343,0.899,1.2596,1.259
20110114,12294.165,0.891,1.2466,1.241
20110117,11734.624,0.858,1.1903,1.191
20110118,11771.588,0.861,1.194,1.193
20110119,12066.547,0.879,1.2236,1.222
20110120,11566.74,0.848,1.1734,1.178
20110121,11639.959,0.852,1.1807,1.18
20110124,11488.917,0.842,1.1655,1.166
20110125,11446.372,0.84,1.1612,1.16
20110126,11599.671,0.849,1.1766,1.18
20110127,11795.33,0.862,1.1962,1.195
20110128,11894.227,0.868,1.2061,1.201
20110131,11994.684,0.874,1.2161,1.215
20110201,11991.512,0.874,1.2158,1.215
20110209,11807.927,0.862,1.1972,1.197
20110210,12170.512,0.885,1.2336,1.235
20110211,12292.491,0.893,1.2458,1.247
20110214,12737.804,0.921,1.2904,1.291
20110215,12711.575,0.919,1.2877,1.287
20110216,12884.87,0.931,1.3051,1.303
20110217,12788.335,0.924,1.2954,1.295
20110218,12613.112,0.913,1.2778,1.279
20110221,12872.466,0.93,1.3037,1.303
20110222,12473.331,0.904,1.2637,1.265
20110223,12492.705,0.905,1.2656,1.264
20110224,12578.426,0.911,1.2742,1.271
20110225,12633.879,0.914,1.2797,1.279
20110228,12902.435,0.932,1.3066,1.305
20110301,12948.718,0.935,1.3112,1.313
20110302,12880.266,0.93,1.3043,1.302
20110303,12698.16,0.918,1.2863,1.285
20110304,12893.842,0.931,1.3059,1.306
20110307,13140.882,0.947,1.3306,1.328
20110308,13144.182,0.948,1.3309,1.33
20110309,13158.215,0.948,1.332,1.331
20110310,13004.855,0.938,1.3166,1.315
20110311,12848.019,0.928,1.3009,1.296
20110314,12958.292,0.935,1.3118,1.311
20110315,12705.322,0.919,1.2865,1.29
20110316,12865.754,0.929,1.3025,1.302
20110317,12650.673,0.915,1.281,1.278
20110318,12721.991,0.92,1.2881,1.286
20110321,12643.731,0.914,1.2802,1.274
20110322,12667.263,0.916,1.2825,1.276
20110323,12845.529,0.928,1.3003,1.29
20110324,12771.455,0.923,1.2929,1.285
20110325,12942.071,0.934,1.3099,1.307
20110328,12875.517,0.929,1.3031,1.293
20110329,12677.608,0.916,1.2832,1.272
20110330,12661.216,0.915,1.2816,1.275
20110331,12562.901,0.908,1.2717,1.263
20110401,12699.417,0.917,1.2854,1.277
20110406,12740.87,0.92,1.2894,1.279
20110407,12890.655,0.93,1.3044,1.297
20110408,13036.232,0.94,1.319,1.31
20110411,12925.046,0.932,1.3077,1.3
20110412,12902.223,0.931,1.3054,1.299
20110413,13102.083,0.944,1.3254,1.316
20110414,12991.925,0.937,1.3144,1.306
