Time,150018.SZ,150019.SZ
2011/12/9 9:45,0.860,0.937
2011-12-09 10:00,0.864,0.943
2011-12-09 10:15,0.861,0.938
2011-12-09 10:30,0.863,0.929
2011-12-09 10:45,0.862,0.933
2011-12-09 11:00,0.863,0.933
2011-12-09 11:15,0.863,0.929
2011-12-09 11:30,0.863,0.930
2011-12-09 13:15,0.863,0.928
2011-12-09 13:30,0.863,0.923
2011-12-09 13:45,0.865,0.924
2011-12-09 14:00,0.864,0.924
2011-12-09 14:15,0.862,0.923
2011-12-09 14:30,0.862,0.918
2011-12-09 14:45,0.861,0.920
2011-12-09 15:00,0.861,0.919
2011-12-12 09:45,0.860,0.912
2011-12-12 10:00,0.860,0.919
2011-12-12 10:15,0.860,0.918
2011-12-12 10:30,0.860,0.918
2011-12-12 10:45,0.859,0.918
2011-12-12 11:00,0.859,0.921
2011-12-12 11:15,0.858,0.919
2011-12-12 11:30,0.857,0.920
2011-12-12 13:15,0.855,0.920
2011-12-12 13:30,0.854,0.925
2011-12-12 13:45,0.853,0.921
2011-12-12 14:00,0.853,0.920
2011-12-12 14:15,0.853,0.918
2011-12-12 14:30,0.852,0.917
2011-12-12 14:45,0.855,0.914
2011-12-12 15:00,0.853,0.914
2011-12-13 09:45,0.851,0.910
2011-12-13 10:00,0.852,0.908
2011-12-13 10:15,0.849,0.908
2011-12-13 10:30,0.846,0.904
2011-12-13 10:45,0.845,0.908
2011-12-13 11:00,0.844,0.907
2011-12-13 11:15,0.844,0.906
2011-12-13 11:30,0.843,0.906
2011-12-13 13:15,0.842,0.902
2011-12-13 13:30,0.839,0.902
2011-12-13 13:45,0.837,0.904
2011-12-13 14:00,0.836,0.902
2011-12-13 14:15,0.834,0.902
2011-12-13 14:30,0.836,0.904
2011-12-13 14:45,0.834,0.900
2011-12-13 15:00,0.829,0.901
2011-12-14 09:45,0.829,0.899
2011-12-14 10:00,0.828,0.906
2011-12-14 10:15,0.827,0.906
2011-12-14 10:30,0.828,0.906
2011-12-14 10:45,0.825,0.903
2011-12-14 11:00,0.825,0.905
2011-12-14 11:15,0.825,0.907
2011-12-14 11:30,0.826,0.906
2011-12-14 13:15,0.824,0.906
2011-12-14 13:30,0.823,0.902
2011-12-14 13:45,0.820,0.902
2011-12-14 14:00,0.822,0.902
2011-12-14 14:15,0.820,0.902
2011-12-14 14:30,0.822,0.900
2011-12-14 14:45,0.819,0.893
2011-12-14 15:00,0.815,0.893
2011-12-15 09:45,0.814,0.889
2011-12-15 10:00,0.811,0.884
2011-12-15 10:15,0.810,0.881
2011-12-15 10:30,0.803,0.881
2011-12-15 10:45,0.803,0.880
2011-12-15 11:00,0.799,0.892
2011-12-15 11:15,0.802,0.891
2011-12-15 11:30,0.802,0.893
2011-12-15 13:15,0.804,0.888
2011-12-15 13:30,0.801,0.885
2011-12-15 13:45,0.801,0.881
2011-12-15 14:00,0.801,0.890
2011-12-15 14:15,0.801,0.888
2011-12-15 14:30,0.806,0.883
2011-12-15 14:45,0.809,0.883
2011-12-15 15:00,0.811,0.877
2011-12-16 09:45,0.814,0.871
2011-12-16 10:00,0.823,0.863
2011-12-16 10:15,0.826,0.865
2011-12-16 10:30,0.832,0.865
2011-12-16 10:45,0.831,0.860
2011-12-16 11:00,0.829,0.854
2011-12-16 11:15,0.828,0.855
2011-12-16 11:30,0.831,0.853
2011-12-16 13:15,0.835,0.853
2011-12-16 13:30,0.836,0.850
2011-12-16 13:45,0.835,0.840
2011-12-16 14:00,0.838,0.840
2011-12-16 14:15,0.838,0.851
2011-12-16 14:30,0.837,0.891
2011-12-16 14:45,0.837,0.895
2011-12-16 15:00,0.835,0.902
2011-12-19 09:45,0.829,0.860
2011-12-19 10:00,0.831,0.866
2011-12-19 10:15,0.833,0.868
2011-12-19 10:30,0.837,0.870
2011-12-19 10:45,0.838,0.866
2011-12-19 11:00,0.839,0.865
2011-12-19 11:15,0.837,0.863
2011-12-19 11:30,0.838,0.860
2011-12-19 13:15,0.837,0.870
2011-12-19 13:30,0.840,0.864
2011-12-19 13:45,0.837,0.868
2011-12-19 14:00,0.838,0.873
2011-12-19 14:15,0.836,0.875
2011-12-19 14:30,0.836,0.905
2011-12-19 14:45,0.836,0.898
2011-12-19 15:00,0.837,0.896
2011-12-20 09:45,0.834,0.899
2011-12-20 10:00,0.832,0.895
2011-12-20 10:15,0.830,0.889
2011-12-20 10:30,0.831,0.882
2011-12-20 10:45,0.831,0.879
2011-12-20 11:00,0.830,0.880
2011-12-20 11:15,0.831,0.880
2011-12-20 11:30,0.831,0.884
2011-12-20 13:15,0.830,0.881
2011-12-20 13:30,0.830,0.884
2011-12-20 13:45,0.830,0.883
2011-12-20 14:00,0.831,0.873
2011-12-20 14:15,0.831,0.875
2011-12-20 14:30,0.832,0.876
2011-12-20 14:45,0.833,0.874
2011-12-20 15:00,0.834,0.868
2011-12-21 09:45,0.836,0.870
2011-12-21 10:00,0.839,0.863
2011-12-21 10:15,0.839,0.862
2011-12-21 10:30,0.837,0.872
2011-12-21 10:45,0.838,0.866
2011-12-21 11:00,0.838,0.862
2011-12-21 11:15,0.838,0.862
2011-12-21 11:30,0.837,0.859
2011-12-21 13:15,0.839,0.857
2011-12-21 13:30,0.840,0.849
2011-12-21 13:45,0.841,0.854
2011-12-21 14:00,0.841,0.854
2011-12-21 14:15,0.841,0.844
2011-12-21 14:30,0.841,0.841
2011-12-21 14:45,0.842,0.832
2011-12-21 15:00,0.840,0.830
2011-12-22 09:45,0.843,0.814
2011-12-22 10:00,0.845,0.807
2011-12-22 10:15,0.849,0.804
2011-12-22 10:30,0.850,0.801
2011-12-22 10:45,0.847,0.797
2011-12-22 11:00,0.846,0.793
2011-12-22 11:15,0.845,0.798
2011-12-22 11:30,0.845,0.818
2011-12-22 13:15,0.845,0.808
2011-12-22 13:30,0.846,0.802
2011-12-22 13:45,0.846,0.806
2011-12-22 14:00,0.845,0.808
2011-12-22 14:15,0.848,0.823
2011-12-22 14:30,0.849,0.824
2011-12-22 14:45,0.849,0.815
2011-12-22 15:00,0.849,0.814
2011-12-23 09:45,0.853,0.811
2011-12-23 10:00,0.858,0.804
2011-12-23 10:15,0.859,0.810
2011-12-23 10:30,0.860,0.807
2011-12-23 10:45,0.866,0.810
2011-12-23 11:00,0.865,0.820
2011-12-23 11:15,0.867,0.821
2011-12-23 11:30,0.866,0.829
2011-12-23 13:15,0.866,0.823
2011-12-23 13:30,0.866,0.822
2011-12-23 13:45,0.866,0.819
2011-12-23 14:00,0.866,0.813
2011-12-23 14:15,0.866,0.814
2011-12-23 14:30,0.866,0.811
2011-12-23 14:45,0.868,0.807
2011-12-23 15:00,0.869,0.809
2011-12-26 09:45,0.873,0.800
2011-12-26 10:00,0.872,0.802
2011-12-26 10:15,0.875,0.807
2011-12-26 10:30,0.876,0.809
